Fin ID,num_images
PR16121203,1106
PR14092104,1065
PR16100901,991
AN13112401,976
PR17092405,915
AN13120110,902
PR14101501,882
PR15102008,748
PR18110106,732
AN15110703,712
AN13132901,670
PR16102305,642
PR14092204,635
PR17092304,606
AN13131802,589
AN17120703,581
AN17121809,580
FAR17103105,577
PR15091902,568
AN13131801,565
AN13112708,562
AN11120601,526
PR15091601,498
PR14110301,497
PR12112301,496
PR14100502,492
FAR13101608,487
PR09112502,485
PR16121201,483
PR12103003,483
AN18111903,463
AN13120503,463
PR18120802,442
AN17131302,441
PR18101001,436
FAR09100802,419
PR12111402,393
PR14092001,388
FAR08102906,386
PR15100901,377
PR17101005,368
PR08120601,366
AN18112704,364
PR08092001,354
AN13103010,354
PR17092202,350
PR12110103,340
FAR17103106,332
FAR13101602,324
PR13112701,323
PR17092404,317
AN13120115,309
PR07111401,301
PR12101801,301
PR14092604,301
AN17112202,294
PR16110202,294
AN13131403,289
PR13120501,279
PR16111502,270
AN13112702,266
FAR12101401,258
FAR12101901,257
AN14110406,245
PR12102201,243
FAR13101609,242
PR17101701,238
PR18110806,234
PR13092001,232
PR14092603,232
AN16112204,232
AN14110411,230
PR11092503,227
FAR10101804,220
PR10121301,217
PR11101402,211
FAR15110501,209
PR17101702,209
PR13101802,208
PR15082001,208
PR16092601,193
PR17110202,187
FAR15101603,186
AN13101402,184
PR14091902,179
FAR15101602,177
PR16101301,176
AN14111601,176
PR14110302,174
PR15101502,172
PR12101807,171
PR15092401,166
AN14111607,165
AN13111704,163
PR17120601,163
PR13102401,162
FAR13101607,159
AN13103007,159
AN13131414,159
AN13130512,157
AN13112402,152
PR17110205,152
PR15102002,150
AN17111404,146
AN13120102,145
AN16112205,145
AN14110409,134
PR12130204,132
FAR16101002,131
PR15092303,130
FAR16092901,129
PR17102702,129
FAR12102902,128
FAR13101401,128
AN14131101,120
PR12112302,119
PR17110102,116
PR17102603,116
PR17102604,113
AN12100202,112
AN12121501,111
PR12103001,110
AN15112309,110
PR17110201,108
AN15131501,107
PR12100502,106
AN13130502,104
AN18110901,104
PR16110203,103
PR16092901,101
AN11110701,95
PR15112703,95
PR08100603,94
FAR10101802,93
PR12100501,90
PR17092403,90
AN14110401,89
PR09120401,87
FAR18101904,86
FAR16101202,86
AN17121805,84
PR17092407,82
AN11101704,81
PR13091801,81
AN16121803,80
PR14091504,79
AN15112302,76
AN13103009,74
PR12103004,71
AN14110402,71
AN15100705,71
FAR09101707,70
PR08120901,67
PR15102702,67
PR13091901,66
AN15112308,66
PR14091501,65
PR16111503,64
AN16112201,64
PR14092605,63
PR12121601,62
PR17101602,62
PR17102605,62
FAR06100306,61
FAR07102704,60
PR14101903,60
AN16112206,60
PR14111501,58
PR16110802,58
AN14110412,56
AN17112009,56
AN17110108,55
PR14092103,50
PR07101401,48
PR12100101,48
FAR17103101,48
PR17110101,48
PR13102402,47
AN13103001,45
PR12120901,44
PR18101905,42
AN17121812,41
AN13112705,41
PR12121307,39
AN15131504,37
PR07100704,36
PR12101805,36
FAR12110301,36
AN15100102,35
FAR17103103,35
AN17121807,34
PR10102802,33
AN15100103,33
PR14110403,33
FAR15100801,31
AN17120914,29
PR16102002,29
AN13120902,28
PR13111001,28
AN15100503,27
AN18111902,26
PR11092901,25
PR14110801,25
FAR15112302,24
PR17092401,24
PR16102101,22
PR10103002,21
PR12120805,21
FAR15101601,20
FAR08091901,20
PR15102007,20
AN12110601,19
PR15102003,18
AN18111503,17
FAR18101602,16
FAR08102706,15
AN12120401,15
PR12120802,15
PR15103110,14
PR10110501,13
AN11111605,13
AN16121806,13
PR12120401,11
AN13111702,11
PR17092301,11
PR14102203,10
PR07111201,9
AN12092701,9
FAR13101901,9
AN14110415,9
AN16121802,9
AN11102201,8
FAR17103108,7
PR15110605,5
AN15102801,5
FAR11103002,4
PR12092301,4
FAR06100307,3
FAR16101203,3
FAR09101003,2
PR12130206,1
FAR14101901,1
FAR17102701,1
PR08112701,0
FAR08101306,0
PR08132002,0
PR08120701,0
FAR07102801,0
FAR10100901,0
FAR05111901,0
FAR06102302,0
FAR06110103,0
PR06112001,0
FAR06110102,0
FAR06100301,0
FAR07101102,0
FAR06100201,0
PR08103002,0
FAR06101005,0
FAR06100902,0
PR11121601,0
FAR06101004,0
FAR06100203,0
FAR08102901,0
FAR09101703,0
FAR18111402,0
FAR13092101,0
PR08092801,0
FAR07111502,0
PR08112702,0
FAR06101901,0
FAR08112601,0
FAR08101701,0
FAR06101402,0
FAR07102701,0
FAR07102306,0
PR07110503,0
FAR07101101,0
FAR07101906,0
FAR07102301,0
PR07101901,0
FAR09100601,0
FAR09100902,0
PR07101701,0
PR07111603,0
FAR07101402,0
FAR07102703,0
FAR07101304,0
FAR09101702,0
FAR07102402,0
FAR09100903,0
PR07100702,0
AN13120119,0
AN11120804,0
PR07101501,0
PR07102302,0
PR07111303,0
PR09091601,0
FAR07102202,0
PR08091402,0
PR08091401,0
PR08111201,0
PR08110706,0
PR10101601,0
PR08102202,0
PR08102201,0
PR08112401,0
PR08121901,0
PR09102101,0
PR08100101,0
PR11121101,0
PR11111202,0
PR08110807,0
PR08092705,0
PR08100601,0
PR08093001,0
PR08110707,0
PR08091704,0
PR08092406,0
PR08092804,0
PR08092902,0
FAR08112603,0
FAR08102707,0
FAR09101004,0
PR09100503,0
PR09111001,0
PR09130701,0
FAR09102002,0
PR09092401,0
PR09102102,0
FAR10102001,0
PR10121302,0
PR10103104,0
PR11100803,0
FAR10101502,0
PR10091501,0
PR10110502,0
PR10111503,0
PR10122301,0
AN11101703,0
FAR10101807,0
PR11100901,0
PR11092401,0
PR11101701,0
PR11102901,0
AN11110902,0
PR11112801,0
PR11121401,0
AN11110201,0
AN11120602,0
PR11120801,0
AN11110703,0
AN11120802,0
AN11101502,0
AN11102003,0
AN11101702,0
PR11112101,0
AN11111603,0
PR12131502,0
PR12100202,0
PR12101301,0
AN12100204,0
FAR12103003,0
FAR13102101,0
AN13120117,0
AN14102202,0
PR14102802,0
AN16100902,0
PR14131301,0
PR14132802,0
AN15093004,0
PR15103102,0
PR15103109,0
PR17111202,0
PR15111203,0
PR15111204,0
AN15120506,0
AN15120806,0
AN15120911,0
AN15102702,0
AN15131502,0
AN16092801,0
PR16100402,0
AN16092904,0
AN16092901,0
AN16100702,0
AN16100901,0
FAR16101005,0
FAR16101102,0
PR16120205,0
AN16120703,0
PR16121202,0
AN16121810,0
AN16121805,0
AN16130604,0
AN16130606,0
AN16130607,0
AN16021401,0
FAR17101705,0
PR17102501,0
PR17111206,0
AN18111904,0
AN17111113,0
AN17111403,0
AN17110107,0
AN17110109,0
AN17112206,0
AN17110111,0
FAR17111101,0
PR17111401,0
AN17111405,0
AN17110601,0
AN17111101,0
AN17110706,0
AN17110708,0
AN17111001,0
PR18110809,0
PR17120503,0
PR17120802,0
AN17111002,0
AN17111003,0
AN17111004,0
AN17111102,0
AN17111107,0
AN17111110,0
AN17121206,0
AN17112006,0
AN17112104,0
AN17112107,0
AN17112205,0
AN17121801,0
AN17121803,0
AN17121811,0
AN17121813,0
AN17121814,0
PR17122401,0
PR17122403,0
AN17120913,0
AN17120712,0
AN17120908,0
AN17112007,0
AN17121205,0
AN17121503,0
AN17121506,0
PR18101002,0
AN17130603,0
AN17130705,0
PR17140302,0
PR17140303,0
PR17140401,0
